customer_id,customer_name,last_activity,customer_status
1,Amit,2025-12-15,Active
2,Neha,2025-10-01,Churned
3,Rahul,2025-12-05,Active
4,Priya,2025-09-10,Churned
5,Kiran,2025-12-01,Active
6,Anu,2025-10-15,Churned
7,Ravi,2025-12-18,Active
8,Meena,2025-08-20,Churned
9,Arjun,2025-12-10,Active
10,Pooja,2025-09-01,Churned
11,Vikram,2025-12-05,Active
12,Sonal,2025-10-10,Churned
13,Deepak,2025-12-19,Active
14,Nisha,2025-09-25,Churned
15,Varun,2025-12-02,Active
16,Sneha,2025-11-30,Active
17,Akash,2025-08-15,Churned
18,Divya,2025-12-12,Active
19,Manoj,2025-10-01,Churned
20,Kavya,2025-12-14,Active
21,Rohit,2025-07-20,Churned
22,Anjali,2025-12-01,Active
23,Suresh,2025-11-01,Churned
24,Isha,2025-09-05,Churned
25,Nitin,2025-12-10,Active
26,Ayesha,2025-10-01,Churned
27,Harsha,2025-12-08,Active
28,Pankaj,2025-09-15,Churned
29,Swathi,NULL,Churned
30,Mohit,NULL,Churned
