customer_id,customer_name,last_activity
1,Amit,2025-12-15
2,Neha,2025-10-01
3,Rahul,2025-12-05
4,Priya,2025-09-10
5,Kiran,2025-12-01
6,Anu,2025-10-15
7,Ravi,2025-12-18
8,Meena,2025-08-20
9,Arjun,2025-12-10
10,Pooja,2025-09-01
11,Vikram,2025-12-05
12,Sonal,2025-10-10
13,Deepak,2025-12-19
14,Nisha,2025-09-25
15,Varun,2025-12-02
16,Sneha,2025-11-30
17,Akash,2025-08-15
18,Divya,2025-12-12
19,Manoj,2025-10-01
20,Kavya,2025-12-14
21,Rohit,2025-07-20
22,Anjali,2025-12-01
23,Suresh,2025-11-01
24,Isha,2025-09-05
25,Nitin,2025-12-10
26,Ayesha,2025-10-01
27,Harsha,2025-12-08
28,Pankaj,2025-09-15
29,Swathi,NULL
30,Mohit,NULL
