customer_id,customer_name,signup_date,country
1,Amit,2024-01-05,India
2,Neha,2024-01-12,India
3,Rahul,2024-02-01,USA
4,Priya,2024-02-15,UK
5,Kiran,2024-03-01,India
6,Anu,2024-03-10,USA
7,Ravi,2024-03-20,India
8,Meena,2024-04-05,India
9,Arjun,2024-04-18,UK
10,Pooja,2024-05-01,India
11,Vikram,2024-05-10,USA
12,Sonal,2024-05-20,India
13,Deepak,2024-06-01,India
14,Nisha,2024-06-10,UK
15,Varun,2024-06-18,India
16,Sneha,2024-07-01,India
17,Akash,2024-07-10,USA
18,Divya,2024-07-20,India
19,Manoj,2024-08-01,UK
20,Kavya,2024-08-12,India
21,Rohit,2024-08-20,India
22,Anjali,2024-09-01,USA
23,Suresh,2024-09-10,India
24,Isha,2024-09-20,UK
25,Nitin,2024-10-01,India
26,Ayesha,2024-10-10,USA
27,Harsha,2024-10-20,India
28,Pankaj,2024-11-01,India
29,Swathi,2024-11-10,UK
30,Mohit,2024-11-20,India
