customer_id,customer_name,signup_date,country,plan_type,monthly_fee,last_activity_date,customer_status
1,Amit,2024-01-05,India,Premium,999,2025-12-15,Active
2,Neha,2024-01-12,India,Basic,499,2025-10-01,Churned
3,Rahul,2024-02-01,USA,Premium,999,2025-12-05,Active
4,Priya,2024-02-15,UK,Basic,499,2025-09-10,Churned
5,Kiran,2024-03-01,India,Premium,999,2025-12-01,Active
6,Anu,2024-03-10,USA,Basic,499,2025-10-15,Churned
7,Ravi,2024-03-20,India,Premium,999,2025-12-18,Active
8,Meena,2024-04-05,India,Basic,499,2025-08-20,Churned
9,Arjun,2024-04-18,UK,Premium,999,2025-12-10,Active
10,Pooja,2024-05-01,India,Basic,499,2025-09-01,Churned
11,Vikram,2024-05-10,USA,Premium,999,2025-12-05,Active
12,Sonal,2024-05-20,India,Basic,499,2025-10-10,Churned
13,Deepak,2024-06-01,India,Premium,999,2025-12-19,Active
14,Nisha,2024-06-10,UK,Basic,499,2025-09-25,Churned
15,Varun,2024-06-18,India,Premium,999,2025-12-02,Active
16,Sneha,2024-07-01,India,Basic,499,2025-11-30,Active
17,Akash,2024-07-10,USA,Premium,999,2025-08-15,Churned
18,Divya,2024-07-20,India,Basic,499,2025-12-12,Active
19,Manoj,2024-08-01,UK,Premium,999,2025-10-01,Churned
20,Kavya,2024-08-12,India,Basic,499,2025-12-14,Active
21,Rohit,2024-08-20,India,Premium,999,2025-07-20,Churned
22,Anjali,2024-09-01,USA,Basic,499,2025-12-01,Active
23,Suresh,2024-09-10,India,Premium,999,2025-11-01,Churned
24,Isha,2024-09-20,UK,Basic,499,2025-09-05,Churned
25,Nitin,2024-10-01,India,Premium,999,2025-12-10,Active
26,Ayesha,2024-10-10,USA,Basic,499,2025-10-01,Churned
27,Harsha,2024-10-20,India,Premium,999,2025-12-08,Active
28,Pankaj,2024-11-01,India,Basic,499,2025-09-15,Churned
29,Swathi,2024-11-10,UK,Premium,999,,Churned
30,Mohit,2024-11-20,India,Basic,499,,Churned
